,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
0,Medium,11352,0.7822022,43.568146,33,6 023040,6,10.568146,9,0,2,3,0,4,0,Tba,40.0,-3.568145752,42.5,44.3,,,,,1,3.1666666666666665,1.0555555555555556,1,0,0,1,0,1,0,0,0,0,0,0,0,2,4,False,True,False,False
1,Medium,40379,1.2608215,67.68321,58,0 124233,0,9.68321,15,1,2,4,2,3,3,Tba,65.0,-2.68321228,68.2,72.0,,,,,1,3.3666666666666667,1.1222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,False,True,False,False
2,Medium,11290,0.734333,36.75897,28,8 012040,8,8.75897,7,0,1,2,0,4,0,Five Tower,36.8,0.04103164673,36.5,37.2,,,,36.8,1,3.5,1.1666666666666667,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4,False,True,False,False
3,Medium,40242,1.1867104,61.434307,52,2 114133,2,9.434307,13,1,1,4,1,3,3,Tba,59.0,-2.434307098,61.7,64.3,,,,,1,3.5,1.1666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
4,High,11214,0.6970266,30.47246,23,A 001040,10,7.47246,5,0,0,1,0,4,0,Five Tower,30.6,0.1275402069,31.0,30.1,,,,30.6,1,4.1,1.3666666666666665,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4,True,False,False,False
5,Medium,40030,1.0148729,54.271397,45,4 113033,4,9.271397,11,1,1,3,0,3,3,Tba,52.0,-2.271396637,54.0,55.1,,,,,1,3.590909090909091,1.196969696969697,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
6,High,45422,1.6720073,70.57655,63,1 012434,1,7.57655,14,0,1,2,4,3,4,Abc,70.5,-0.07655334473,70.5,74.0,,,,,0,4.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,True,False,False,False
7,Medium,48371,1.5097157,66.74314,59,2 021325,2,7.74314,13,0,2,1,3,2,5,Tba,66.0,-0.7431411743,67.0,70.0,,,,,1,4.038461538461538,1.346153846153846,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,False,True,False,False
8,High,45378,1.567497,66.41211,59,2 012334,2,7.41211,13,0,1,2,3,3,4,Abc,66.5,0.087890625,66.5,69.6,,,,,1,4.038461538461538,1.346153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,True,False,False,False
9,Medium,43973,1.1525004,56.05106,48,4 021314,4,8.05106,11,0,2,1,3,1,4,Tba,55.0,-1.051059723,56.0,58.7,,,,,1,3.8636363636363633,1.2878787878787878,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False
